"사용일자","노선명","역ID","역명","승차총승객수","하차총승객수","등록일자"
"20190101","경춘선","1323","가평","1520","1436","20190104"
"20190101","경춘선","1322","상천","275","114","20190104"
"20190101","경춘선","1321","청평","1509","1083","20190104"
"20190101","경춘선","1320","대성리","357","271","20190104"
"20190101","경춘선","1319","마석","1772","1963","20190104"
"20190101","경춘선","1318","천마산","787","765","20190104"
"20190101","경춘선","1317","평내호평","2649","2661","20190104"
"20190101","경춘선","1316","금곡","734","726","20190104"
"20190101","경춘선","1315","사릉","1347","1534","20190104"
"20190101","경춘선","1314","퇴계원","1542","1516","20190104"
"20190101","경춘선","1313","별내","1321","1232","20190104"
"20190101","경춘선","1312","갈매","1068","954","20190104"
"20190101","경인선","1804","부천","24321","24169","20190104"
"20190101","경인선","1803","역곡","13653","14049","20190104"
"20190101","경인선","1802","오류동","7126","6603","20190104"
"20190101","경인선","1801","개봉","11366","11785","20190104"
"20190101","경의선","1296","계양","1","0","20190104"
"20190101","경의선","1284","문산","3860","4170","20190104"
"20190101","경의선","1283","파주","729","659","20190104"
"20190101","경의선","1282","월롱","719","1761","20190104"
"20190101","경의선","1280","금촌","4346","5071","20190104"
"20190101","경의선","1279","금릉","2311","2469","20190104"
"20190101","경의선","1278","운정","2572","2670","20190104"
"20190101","경의선","1277","야당","2377","2265","20190104"
"20190101","경의선","1276","탄현","3252","3199","20190104"
"20190101","경의선","1275","일산","3725","3768","20190104"
"20190101","경의선","1274","풍산","2476","2508","20190104"
"20190101","경의선","1273","백마","2606","2497","20190104"
"20190101","경의선","1272","곡산","215","209","20190104"
"20190101","경의선","1271","능곡","1748","1700","20190104"
"20190101","경의선","1270","행신","3639","3390","20190104"
"20190101","경의선","1269","강매","1071","1057","20190104"
"20190101","경의선","1268","화전","800","898","20190104"
"20190101","경의선","1267","수색","734","748","20190104"
"20190101","경의선","1266","디지털미디어시티","989","949","20190104"
"20190101","경의선","1265","가좌","2315","2400","20190104"
"20190101","경의선","1264","홍대입구","1314","1629","20190104"
"20190101","경의선","1263","서강대","1060","1049","20190104"
"20190101","경의선","1262","공덕","1619","1346","20190104"
"20190101","경의선","1261","효창공원앞","1005","1105","20190104"
"20190101","경의선","1252","신촌","329","327","20190104"
"20190101","경의선","1251","서울역","1278","919","20190104"
"20190101","경원선","1916","소요산","3392","2992","20190104"
"20190101","경원선","1915","동두천","1165","1606","20190104"
"20190101","경원선","1914","보산","1205","1386","20190104"
"20190101","경원선","1913","동두천중앙","2278","2317","20190104"
"20190101","경원선","1912","지행","3983","4104","20190104"
"20190101","경원선","1911","덕정","3126","3527","20190104"
"20190101","경원선","1910","덕계","921","944","20190104"
"20190101","경원선","1909","양주","4430","4531","20190104"
"20190101","경원선","1908","녹양","2576","2469","20190104"
"20190101","경원선","1907","가능","3650","3455","20190104"
"20190101","경원선","1906","의정부","13158","13688","20190104"
"20190101","경원선","1905","회룡","5852","5907","20190104"
"20190101","경원선","1904","망월사","3812","3928","20190104"
"20190101","경원선","1903","도봉산","6061","4147","20190104"
"20190101","경원선","1902","도봉","2948","2837","20190104"
"20190101","경원선","1901","방학","4948","4832","20190104"
"20190101","경원선","1021","녹천","2325","2064","20190104"
"20190101","경원선","1020","월계","2739","2593","20190104"
"20190101","경원선","1019","광운대","3909","4242","20190104"
"20190101","경원선","1018","석계","4814","5617","20190104"
"20190101","경원선","1017","신이문","4433","4326","20190104"
"20190101","경원선","1016","외대앞","4926","5138","20190104"
"20190101","경원선","1014","청량리(서울시립대입구)","12457","10701","20190104"
"20190101","경원선","1013","왕십리(성동구청)","9343","10917","20190104"
"20190101","경원선","1012","응봉","1038","998","20190104"
"20190101","경원선","1011","옥수","37","15","20190104"
"20190101","경원선","1010","한남","1854","1881","20190104"
"20190101","경원선","1009","서빙고","985","931","20190104"
"20190101","경원선","1008","이촌(국립중앙박물관)","1794","1411","20190104"
"20190101","경부선","1750","광명","2106","1120","20190104"
"20190101","경부선","1749","서동탄","853","854","20190104"
"20190101","경부선","1729","당정","2798","2831","20190104"
"20190101","경부선","1728","천안","5838","5644","20190104"
"20190101","경부선","1727","두정","3351","3791","20190104"
"20190101","경부선","1726","직산","560","656","20190104"
"20190101","경부선","1725","성환","2284","2971","20190104"
"20190101","경부선","1724","평택","10109","11931","20190104"
"20190101","경부선","1723","지제","1520","1470","20190104"
"20190101","경부선","1722","서정리","2741","3899","20190104"
"20190101","경부선","1721","송탄","3133","3883","20190104"
"20190101","경부선","1720","진위","687","657","20190104"
"20190101","경부선","1719","오산","7152","8320","20190104"
"20190101","경부선","1718","오산대","1602","1844","20190104"
"20190101","경부선","1717","세마","1599","1595","20190104"
"20190101","경부선","1716","병점","7821","10125","20190104"
"20190101","경부선","1715","세류","2427","2723","20190104"
"20190101","경부선","1714","독산","5591","5893","20190104"
"20190101","경부선","1713","수원","35173","33952","20190104"
"20190101","경부선","1712","화서","3567","3582","20190104"
"20190101","경부선","1711","성균관대","7292","7920","20190104"
"20190101","경부선","1710","의왕","3509","3797","20190104"
"20190101","경부선","1709","군포","3022","2759","20190104"
"20190101","경부선","1708","금정","12318","13412","20190104"
"20190101","경부선","1707","명학","2967","3141","20190104"
"20190101","경부선","1706","안양","13420","13365","20190104"
"20190101","경부선","1705","관악","4410","4188","20190104"
"20190101","경부선","1704","석수","4842","4762","20190104"
"20190101","경부선","1703","금천구청","5445","5298","20190104"
"20190101","경부선","1702","가산디지털단지","4487","6298","20190104"
"20190101","2호선","0224","서초","4521","4059","20190104"
"20190101","경부선","1701","구로","9889","9924","20190104"
"20190101","경부선","1032","신길","4474","4004","20190104"
"20190101","경부선","1007","신도림","1454","1678","20190104"
"20190101","경부선","1006","영등포","35263","33396","20190104"
"20190101","경부선","1005","대방","6016","6353","20190104"
"20190101","경부선","1004","노량진","7627","7121","20190104"
"20190101","경부선","1003","용산","35145","30245","20190104"
"20190101","경부선","1002","남영","4013","4269","20190104"
"20190101","경부선","1001","서울역","5983","731","20190104"
"20190101","경강선","1511","여주","1567","1437","20190104"
"20190101","경강선","1510","세종대왕릉","227","218","20190104"
"20190101","경강선","1509","부발","939","1343","20190104"
"20190101","경강선","1508","이천","1559","1783","20190104"
"20190101","경강선","1507","신둔도예촌","582","600","20190104"
"20190101","수인선","1879","월곶","1359","1264","20190104"
"20190101","수인선","1878","달월","24","24","20190104"
"20190101","분당선","1872","매교","1063","1108","20190104"
"20190101","분당선","1871","수원시청","7717","6262","20190104"
"20190101","분당선","1870","매탄권선","2049","2134","20190104"
"20190101","분당선","1869","망포","5260","6121","20190104"
"20190101","경강선","1506","곤지암","1158","1260","20190104"
