"사용일자","노선명","역ID","역명","승차총승객수","하차총승객수","등록일자"
"20181101","7호선","2721","중화","13401","13043","20181104"
"20181101","7호선","2722","상봉(시외버스터미널)","19877","18970","20181104"
"20181101","7호선","2723","면목","19571","19017","20181104"
"20181101","7호선","2724","사가정","18214","18037","20181104"
"20181101","7호선","2725","용마산","7468","6959","20181104"
"20181101","7호선","2726","중곡","12122","10971","20181104"
"20181101","7호선","2727","군자(능동)","16811","13037","20181104"
"20181101","7호선","2728","어린이대공원(세종대)","19059","19593","20181104"
"20181101","7호선","2729","건대입구","20324","20055","20181104"
"20181101","7호선","2730","뚝섬유원지","8481","8234","20181104"
"20181101","7호선","2731","청담","23988","27936","20181104"
"20181101","7호선","2732","강남구청","17659","19827","20181104"
"20181101","7호선","2733","학동","26532","29144","20181104"
"20181101","7호선","2734","논현","23146","25311","20181104"
"20181101","7호선","2736","고속터미널","20598","18223","20181104"
"20181101","7호선","2737","내방","17115","17362","20181104"
"20181101","7호선","2738","이수","19008","18830","20181104"
"20181101","7호선","2739","남성","14251","13136","20181104"
"20181101","7호선","2740","숭실대입구(살피재)","19669","19334","20181104"
"20181101","7호선","2741","상도","14067","13921","20181104"
"20181101","7호선","2742","장승배기","12846","12505","20181104"
"20181101","7호선","2743","신대방삼거리","19667","18828","20181104"
"20181101","7호선","2744","보라매","10880","11171","20181104"
"20181101","7호선","2745","신풍","12881","12370","20181104"
"20181101","7호선","2746","대림(구로구청)","10852","11042","20181104"
"20181101","7호선","2747","남구로","18689","20092","20181104"
"20181101","7호선","2748","가산디지털단지","50674","51503","20181104"
"20181101","7호선","2749","철산","26755","27725","20181104"
"20181101","7호선","2750","광명사거리","29871","29449","20181104"
"20181101","7호선","2751","천왕","10486","9783","20181104"
"20181101","7호선","2752","온수(성공회대입구)","13663","12982","20181104"
"20181101","7호선","2753","까치울","8794","8397","20181104"
"20181101","7호선","2754","부천종합운동장","5778","4904","20181104"
"20181101","7호선","2755","춘의","10880","10579","20181104"
"20181101","7호선","2756","신중동","17056","16963","20181104"
"20181101","7호선","2757","부천시청","14408","14619","20181104"
"20181101","7호선","2758","상동","16018","16850","20181104"
"20181101","7호선","2759","삼산체육관","6274","5534","20181104"
"20181101","7호선","2760","굴포천","10311","10951","20181104"
"20181101","7호선","2761","부평구청","14165","11387","20181104"
"20181101","8호선","2811","암사","21931","19026","20181104"
"20181101","8호선","2812","천호(풍납토성)","21461","23874","20181104"
"20181101","8호선","2813","강동구청","12814","13215","20181104"
"20181101","8호선","2814","몽촌토성(평화의문)","8504","8878","20181104"
"20181101","8호선","2815","잠실(송파구청)","15381","18311","20181104"
"20181101","8호선","2816","석촌","10861","11357","20181104"
"20181101","8호선","2817","송파","6614","6525","20181104"
"20181101","8호선","2818","가락시장","8686","10027","20181104"
"20181101","8호선","2819","문정","22385","23476","20181104"
"20181101","8호선","2820","장지","21465","20748","20181104"
"20181101","8호선","2821","복정","14343","11783","20181104"
"20181101","8호선","2822","산성","6694","6696","20181104"
"20181101","8호선","2823","남한산성입구(성남법원.검찰청)","17794","16665","20181104"
"20181101","8호선","2824","단대오거리","13104","12177","20181104"
"20181101","8호선","2825","신흥","4899","5175","20181104"
"20181101","8호선","2826","수진","5857","5441","20181104"
"20181101","8호선","2827","모란","4863","3678","20181104"
"20181101","9호선","4101","개화","8553","5542","20181104"
"20181101","9호선","4102","김포공항","9686","12703","20181104"
"20181101","9호선","4103","공항시장","3135","3522","20181104"
"20181101","9호선","4104","신방화","8919","8695","20181104"
"20181101","9호선","4105","마곡나루","9038","8814","20181104"
"20181101","9호선","4106","양천향교","9836","10000","20181104"
"20181101","9호선","4107","가양","23525","22756","20181104"
"20181101","9호선","4108","증미","8503","8648","20181104"
"20181101","9호선","4109","등촌","12224","12118","20181104"
