"사용일자","노선명","역ID","역명","승차총승객수","하차총승객수","등록일자"
"20190901","중앙선","1207","양정","740","552","20190904"
"20190901","중앙선","1209","도심","1755","1585","20190904"
"20190901","중앙선","1210","팔당","1452","1474","20190904"
"20190901","중앙선","1211","운길산","1097","1033","20190904"
"20190901","경원선","1022","창동","1","0","20190904"
"20190901","중앙선","1208","덕소","4552","4627","20190904"
"20190901","중앙선","1220","지평","65","62","20190904"
"20190901","중앙선","1219","용문","3245","2549","20190904"
"20190901","중앙선","1218","원덕","472","380","20190904"
"20190901","중앙선","1217","양평","3190","2940","20190904"
"20190901","중앙선","1216","오빈","264","230","20190904"
"20190901","중앙선","1215","아신","794","663","20190904"
"20190901","중앙선","1214","국수","764","668","20190904"
"20190901","중앙선","1213","신원","298","178","20190904"
"20190901","1호선","0150","서울역","41653","37609","20190904"
"20190901","1호선","0151","시청","13426","13510","20190904"
"20190901","1호선","0152","종각","21489","18508","20190904"
"20190901","1호선","0153","종로3가","21155","19064","20190904"
"20190901","1호선","0154","종로5가","12684","12735","20190904"
"20190901","1호선","0155","동대문","13200","15580","20190904"
"20190901","1호선","0156","신설동","10050","9859","20190904"
"20190901","1호선","0157","제기동","14949","15553","20190904"
"20190901","1호선","0158","청량리(서울시립대입구)","19171","20022","20190904"
"20190901","1호선","0159","동묘앞","14586","15250","20190904"
"20190901","2호선","0201","시청","9998","8355","20190904"
"20190901","2호선","0202","을지로입구","31179","29335","20190904"
"20190901","2호선","0203","을지로3가","11697","11623","20190904"
"20190901","2호선","0204","을지로4가","4977","4985","20190904"
"20190901","2호선","0205","동대문역사문화공원","13678","16609","20190904"
"20190901","2호선","0206","신당","10010","10588","20190904"
"20190901","2호선","0207","상왕십리","8361","8184","20190904"
"20190901","2호선","0208","왕십리(성동구청)","13227","11571","20190904"
"20190901","2호선","0209","한양대","3461","4003","20190904"
"20190901","2호선","0210","뚝섬","10351","10913","20190904"
"20190901","2호선","0211","성수","11564","12734","20190904"
"20190901","2호선","0212","건대입구","35853","37694","20190904"
"20190901","2호선","0213","구의(광진구청)","13825","13233","20190904"
"20190901","2호선","0214","강변(동서울터미널)","38373","39243","20190904"
"20190901","2호선","0215","잠실나루","8241","8300","20190904"
"20190901","2호선","0216","잠실(송파구청)","61538","56941","20190904"
"20190901","2호선","0217","잠실새내","15748","15569","20190904"
"20190901","2호선","0218","종합운동장","14464","15254","20190904"
"20190901","2호선","0219","삼성(무역센터)","33744","33621","20190904"
"20190901","2호선","0220","선릉","16932","14754","20190904"
"20190901","2호선","0221","역삼","14723","15539","20190904"
"20190901","2호선","0222","강남","53624","52659","20190904"
"20190901","2호선","0223","교대(법원.검찰청)","15364","16930","20190904"
"20190901","2호선","0224","서초","17000","16450","20190904"
"20190901","2호선","0225","방배","9240","9743","20190904"
"20190901","2호선","0226","사당","28181","32068","20190904"
"20190901","2호선","0227","낙성대","19758","20367","20190904"
"20190901","2호선","0228","서울대입구(관악구청)","34134","35077","20190904"
"20190901","2호선","0229","봉천","15249","14782","20190904"
"20190901","2호선","0230","신림","48196","47106","20190904"
"20190901","2호선","0231","신대방","19813","19279","20190904"
"20190901","2호선","0232","구로디지털단지","33246","32657","20190904"
"20190901","2호선","0233","대림(구로구청)","21934","22461","20190904"
"20190901","2호선","0234","신도림","40093","40643","20190904"
"20190901","2호선","0235","문래","8761","9313","20190904"
"20190901","2호선","0236","영등포구청","9957","10291","20190904"
"20190901","2호선","0237","당산","13482","14151","20190904"
"20190901","2호선","0238","합정","26703","26936","20190904"
"20190901","2호선","0239","홍대입구","77925","76253","20190904"
"20190901","2호선","0240","신촌","34231","33304","20190904"
"20190901","2호선","0241","이대","13004","14155","20190904"
"20190901","2호선","0242","아현","6603","6791","20190904"
"20190901","2호선","0243","충정로(경기대입구)","5572","5816","20190904"
"20190901","2호선","0244","용답","1929","2021","20190904"
"20190901","2호선","0245","신답","889","955","20190904"
"20190901","2호선","0246","신설동","4000","3774","20190904"
"20190901","2호선","0247","도림천","519","527","20190904"
"20190901","2호선","0248","양천구청","3964","4176","20190904"
"20190901","2호선","0249","신정네거리","6105","6303","20190904"
"20190901","2호선","0250","용두(동대문구청)","1376","1377","20190904"
"20190901","3호선","0309","지축","886","890","20190904"
"20190901","3호선","0310","구파발","14314","14859","20190904"
"20190901","3호선","0311","연신내","28463","26590","20190904"
"20190901","3호선","0312","불광","12274","14551","20190904"
"20190901","3호선","0313","녹번","8001","7024","20190904"
"20190901","3호선","0314","홍제","12021","11735","20190904"
"20190901","3호선","0315","무악재","2454","2581","20190904"
"20190901","3호선","0316","독립문","6136","6509","20190904"
"20190901","3호선","0317","경복궁(정부서울청사)","15778","16528","20190904"
"20190901","3호선","0318","안국","14952","15837","20190904"
"20190901","3호선","0319","종로3가","5007","7014","20190904"
"20190901","3호선","0320","을지로3가","4836","4754","20190904"
"20190901","3호선","0322","동대입구","8353","9381","20190904"
"20190901","3호선","0323","약수","8806","8567","20190904"
"20190901","3호선","0324","금호","5505","5243","20190904"
"20190901","3호선","0325","옥수","6353","6955","20190904"
"20190901","3호선","0326","압구정","19587","20452","20190904"
"20190901","3호선","0327","신사","20173","20397","20190904"
"20190901","3호선","0328","잠원","3457","3436","20190904"
"20190901","3호선","0329","고속터미널","62468","59153","20190904"
"20190901","3호선","0330","교대(법원.검찰청)","5882","3525","20190904"
"20190901","3호선","0331","남부터미널(예술의전당)","22679","23473","20190904"
"20190901","3호선","0332","양재(서초구청)","19388","21520","20190904"
"20190901","3호선","0333","매봉","4529","4483","20190904"
"20190901","3호선","0334","도곡","2479","2576","20190904"
"20190901","3호선","0335","대치","8723","7663","20190904"
"20190901","3호선","0336","학여울","3866","4306","20190904"
"20190901","3호선","0337","대청","5332","5052","20190904"
"20190901","3호선","0338","일원","4770","5441","20190904"
"20190901","3호선","0339","수서","13038","12662","20190904"
"20190901","3호선","0340","가락시장","5412","5462","20190904"
"20190901","3호선","0341","경찰병원","3672","3740","20190904"
"20190901","3호선","0342","오금","3817","3733","20190904"
"20190901","4호선","0409","당고개","9428","9036","20190904"
"20190901","4호선","0410","상계","12947","11850","20190904"
"20190901","4호선","0411","노원","15690","16923","20190904"
"20190901","4호선","0412","창동","19858","21136","20190904"
"20190901","4호선","0413","쌍문","20888","18633","20190904"
"20190901","4호선","0414","수유(강북구청)","25595","24881","20190904"
"20190901","4호선","0415","미아(서울사이버대학)","10670","9955","20190904"
"20190901","4호선","0416","미아사거리","20571","19652","20190904"
"20190901","4호선","0417","길음","13758","13433","20190904"
"20190901","4호선","0418","성신여대입구(돈암)","16758","16122","20190904"
"20190901","4호선","0419","한성대입구(삼선교)","10081","9987","20190904"
"20190901","4호선","0420","혜화","31227","33383","20190904"
"20190901","4호선","0421","동대문","11804","11976","20190904"
"20190901","4호선","0422","동대문역사문화공원","16903","14982","20190904"
"20190901","4호선","0423","충무로","13434","13401","20190904"
"20190901","4호선","0424","명동","31634","34058","20190904"
"20190901","4호선","0425","회현(남대문시장)","13398","13906","20190904"
"20190901","4호선","0426","서울역","7573","17849","20190904"
"20190901","4호선","0427","숙대입구(갈월)","10455","10200","20190904"
"20190901","4호선","0428","삼각지","2784","3606","20190904"
"20190901","4호선","0429","신용산","9465","9170","20190904"
"20190901","4호선","0430","이촌(국립중앙박물관)","7864","8650","20190904"
"20190901","4호선","0431","동작(현충원)","2057","2064","20190904"
"20190901","4호선","0432","총신대입구(이수)","13472","14611","20190904"
"20190901","4호선","0433","사당","20519","19244","20190904"
"20190901","4호선","0434","남태령","1162","798","20190904"
"20190901","5호선","2511","방화","4488","4381","20190904"
"20190901","5호선","2512","개화산","3301","3359","20190904"
"20190901","5호선","2513","김포공항","7021","5999","20190904"
"20190901","5호선","2514","송정","5794","5921","20190904"
"20190901","5호선","2515","마곡","2828","2860","20190904"
"20190901","5호선","2516","발산","9352","9729","20190904"
"20190901","5호선","2517","우장산","8500","8773","20190904"
"20190901","5호선","2518","화곡","17754","16906","20190904"
"20190901","5호선","2519","까치산","19053","18485","20190904"
"20190901","5호선","2520","신정(은행정)","7187","5627","20190904"
"20190901","5호선","2521","목동","10561","11236","20190904"
"20190901","5호선","2522","오목교(목동운동장앞)","14538","15419","20190904"
"20190901","5호선","2523","양평","3099","3033","20190904"
"20190901","5호선","2524","영등포구청","1423","1441","20190904"
"20190901","5호선","2525","영등포시장","6284","6408","20190904"
"20190901","5호선","2526","신길","1882","2021","20190904"
"20190901","5호선","2527","여의도","7768","12775","20190904"
"20190901","5호선","2528","여의나루","17419","18010","20190904"
"20190901","5호선","2529","마포","6070","5919","20190904"
"20190901","5호선","2530","공덕","5908","5953","20190904"
"20190901","5호선","2531","애오개","4029","4342","20190904"
"20190901","5호선","2532","충정로(경기대입구)","1794","1814","20190904"
"20190901","5호선","2533","서대문","8301","8228","20190904"
"20190901","5호선","2534","광화문(세종문화회관)","19968","20189","20190904"
"20190901","5호선","2535","종로3가","11364","10101","20190904"
"20190901","5호선","2536","을지로4가","1861","2190","20190904"
"20190901","5호선","2537","동대문역사문화공원","1183","1345","20190904"
"20190901","5호선","2538","청구","2342","2091","20190904"
"20190901","5호선","2539","신금호","3716","3920","20190904"
"20190901","5호선","2540","행당","4836","4338","20190904"
"20190901","5호선","2541","왕십리(성동구청)","3357","3934","20190904"
"20190901","5호선","2542","마장","3579","3390","20190904"
"20190901","5호선","2543","답십리","9087","8531","20190904"
"20190901","5호선","2544","장한평","10337","10130","20190904"
"20190901","5호선","2545","군자(능동)","7271","8096","20190904"
"20190901","5호선","2546","아차산(어린이대공원후문)","11524","11206","20190904"
"20190901","5호선","2547","광나루(장신대)","9085","8545","20190904"
"20190901","5호선","2548","천호(풍납토성)","15420","15268","20190904"
"20190901","5호선","2549","강동","12429","11418","20190904"
"20190901","5호선","2550","길동","4513","4642","20190904"
"20190901","5호선","2551","굽은다리(강동구민회관앞)","6404","6077","20190904"
"20190901","5호선","2552","명일","5377","5510","20190904"
"20190901","5호선","2553","고덕","4971","5015","20190904"
"20190901","5호선","2554","상일동","6011","5794","20190904"
"20190901","5호선","2555","둔촌동","6317","6352","20190904"
"20190901","5호선","2556","올림픽공원(한국체대)","5688","6242","20190904"
"20190901","5호선","2557","방이","5207","5013","20190904"
"20190901","5호선","2558","오금","1807","1836","20190904"
"20190901","5호선","2559","개롱","4213","4464","20190904"
"20190901","5호선","2560","거여","5142","5050","20190904"
"20190901","5호선","2561","마천","3722","4087","20190904"
"20190901","6호선","2611","응암","11321","11244","20190904"
"20190901","6호선","2612","역촌","2733","3159","20190904"
"20190901","6호선","2613","불광","4271","3785","20190904"
"20190901","6호선","2614","독바위","1899","2371","20190904"
"20190901","6호선","2615","연신내","1","0","20190904"
"20190901","6호선","2616","구산","4937","3605","20190904"
"20190901","6호선","2617","새절(신사)","8357","8306","20190904"
"20190901","6호선","2618","증산(명지대앞)","6895","6794","20190904"
"20190901","6호선","2619","디지털미디어시티","6728","6825","20190904"
"20190901","6호선","2620","월드컵경기장(성산)","23032","16673","20190904"
"20190901","6호선","2621","마포구청","10572","7789","20190904"
"20190901","6호선","2622","망원","11002","11640","20190904"
"20190901","6호선","2623","합정","12766","11741","20190904"
"20190901","6호선","2624","상수","8833","10082","20190904"
"20190901","6호선","2625","광흥창(서강)","5468","5256","20190904"
"20190901","6호선","2626","대흥(서강대앞)","4864","4926","20190904"
"20190901","6호선","2627","공덕","8789","8778","20190904"
"20190901","6호선","2628","효창공원앞","3886","3466","20190904"
"20190901","6호선","2629","삼각지","4420","3260","20190904"
"20190901","6호선","2630","녹사평(용산구청)","5442","5144","20190904"
"20190901","6호선","2631","이태원","17650","14368","20190904"
"20190901","6호선","2632","한강진","6395","7425","20190904"
"20190901","6호선","2633","버티고개","1432","1361","20190904"
"20190901","6호선","2634","약수","2228","2187","20190904"
"20190901","6호선","2635","청구","2015","2078","20190904"
"20190901","6호선","2636","신당","5065","5822","20190904"
"20190901","6호선","2637","동묘앞","8219","8229","20190904"
"20190901","6호선","2638","창신","1944","1685","20190904"
"20190901","6호선","2639","보문","4910","4731","20190904"
"20190901","6호선","2640","안암(고대병원앞)","7778","8727","20190904"
"20190901","6호선","2641","고려대(종암)","5469","5376","20190904"
"20190901","6호선","2642","월곡(동덕여대)","7001","7022","20190904"
"20190901","6호선","2643","상월곡(한국과학기술연구원)","3903","3700","20190904"
"20190901","6호선","2644","돌곶이","5273","5104","20190904"
"20190901","6호선","2645","석계","8011","8245","20190904"
"20190901","6호선","2646","태릉입구","3700","4288","20190904"
"20190901","6호선","2647","화랑대(서울여대입구)","6803","6115","20190904"
"20190901","6호선","2648","봉화산(서울의료원)","5543","5261","20190904"
"20190901","7호선","2711","장암","1650","1108","20190904"
"20190901","7호선","2712","도봉산","6689","9476","20190904"
"20190901","7호선","2713","수락산","10136","9900","20190904"
"20190901","7호선","2714","마들","6868","6310","20190904"
"20190901","7호선","2715","노원","13734","14049","20190904"
"20190901","7호선","2716","중계","9754","9399","20190904"
"20190901","7호선","2717","하계","12032","11571","20190904"
"20190901","7호선","2718","공릉(서울과학기술대)","8086","8653","20190904"
"20190901","7호선","2719","태릉입구","5891","5674","20190904"
"20190901","7호선","2720","먹골","6533","6315","20190904"
"20190901","7호선","2721","중화","7533","7200","20190904"
"20190901","7호선","2722","상봉(시외버스터미널)","11601","11201","20190904"
"20190901","7호선","2723","면목","9752","9429","20190904"
"20190901","7호선","2724","사가정","10554","10320","20190904"
"20190901","7호선","2725","용마산","4102","4296","20190904"
"20190901","7호선","2726","중곡","6271","5949","20190904"
"20190901","7호선","2727","군자(능동)","9438","7110","20190904"
"20190901","7호선","2728","어린이대공원(세종대)","10868","11306","20190904"
"20190901","7호선","2729","건대입구","11619","12104","20190904"
"20190901","7호선","2730","뚝섬유원지","13842","13173","20190904"
"20190901","7호선","2731","청담","8917","9505","20190904"
"20190901","7호선","2732","강남구청","6899","7597","20190904"
"20190901","7호선","2733","학동","7798","8107","20190904"
"20190901","7호선","2734","논현","8187","8323","20190904"
"20190901","7호선","2735","반포","3870","3898","20190904"
"20190901","7호선","2736","고속터미널","18494","13553","20190904"
"20190901","7호선","2737","내방","5881","6283","20190904"
"20190901","7호선","2738","이수","10604","10280","20190904"
"20190901","7호선","2739","남성","6807","6861","20190904"
"20190901","7호선","2740","숭실대입구(살피재)","7942","8401","20190904"
"20190901","7호선","2741","상도","7010","7144","20190904"
"20190901","7호선","2742","장승배기","6494","6448","20190904"
"20190901","7호선","2743","신대방삼거리","9665","9660","20190904"
"20190901","7호선","2744","보라매","5349","5315","20190904"
"20190901","7호선","2745","신풍","7506","7247","20190904"
"20190901","7호선","2746","대림(구로구청)","11284","10494","20190904"
"20190901","7호선","2747","남구로","9337","9042","20190904"
"20190901","7호선","2748","가산디지털단지","13369","12174","20190904"
"20190901","7호선","2749","철산","14127","14186","20190904"
"20190901","7호선","2750","광명사거리","17057","16691","20190904"
"20190901","7호선","2751","천왕","5494","5213","20190904"
"20190901","7호선","2752","온수(성공회대입구)","5376","5571","20190904"
"20190901","7호선","2753","까치울","4625","4556","20190904"
"20190901","7호선","2754","부천종합운동장","2824","2524","20190904"
"20190901","7호선","2755","춘의","4319","4039","20190904"
"20190901","7호선","2756","신중동","8283","8177","20190904"
"20190901","7호선","2757","부천시청","8037","7780","20190904"
"20190901","7호선","2758","상동","9537","9422","20190904"
"20190901","7호선","2759","삼산체육관","3167","2871","20190904"
"20190901","7호선","2760","굴포천","5958","5956","20190904"
"20190901","7호선","2761","부평구청","6487","5446","20190904"
"20190901","8호선","2811","암사","10613","10006","20190904"
"20190901","8호선","2812","천호(풍납토성)","12344","13528","20190904"
"20190901","8호선","2813","강동구청","5681","5774","20190904"
"20190901","8호선","2814","몽촌토성(평화의문)","3852","3829","20190904"
"20190901","8호선","2815","잠실(송파구청)","11817","13193","20190904"
"20190901","8호선","2816","석촌","4952","5864","20190904"
"20190901","8호선","2817","송파","5905","5542","20190904"
"20190901","8호선","2818","가락시장","4052","4993","20190904"
"20190901","8호선","2819","문정","6684","6948","20190904"
"20190901","8호선","2820","장지","13005","12750","20190904"
"20190901","8호선","2821","복정","7339","6453","20190904"
"20190901","8호선","2822","산성","3985","4123","20190904"
"20190901","8호선","2823","남한산성입구(성남법원.검찰청)","8100","7581","20190904"
"20190901","8호선","2824","단대오거리","6496","6310","20190904"
"20190901","8호선","2825","신흥","3419","3664","20190904"
"20190901","8호선","2826","수진","4314","3922","20190904"
"20190901","8호선","2827","모란","3019","2344","20190904"
"20190901","9호선","4101","개화","3483","2942","20190904"
"20190901","9호선","4102","김포공항","8186","10805","20190904"
"20190901","9호선","4103","공항시장","2022","2258","20190904"
"20190901","9호선","4104","신방화","4183","4165","20190904"
"20190901","9호선","4105","마곡나루","5786","5932","20190904"
"20190901","9호선","4106","양천향교","4760","4973","20190904"
"20190901","9호선","4107","가양","13605","13093","20190904"
"20190901","9호선","4108","증미","3557","3586","20190904"
"20190901","9호선","4109","등촌","5589","5583","20190904"
"20190901","9호선","4110","염창","10238","9730","20190904"
"20190901","9호선","4111","신목동","2202","2042","20190904"
"20190901","9호선","4112","선유도","3190","3140","20190904"
"20190901","9호선","4113","당산","12058","11483","20190904"
"20190901","9호선","4114","국회의사당","6413","5808","20190904"
"20190901","9호선","4115","여의도","7881","10223","20190904"
"20190901","9호선","4116","샛강","2375","2303","20190904"
"20190901","9호선","4117","노량진","19673","21639","20190904"
"20190901","9호선","4118","노들","3154","2765","20190904"
"20190901","9호선","4119","흑석(중앙대입구)","5881","6222","20190904"
"20190901","9호선","4120","동작(현충원)","1801","1486","20190904"
"20190901","9호선","4121","구반포","1790","1917","20190904"
"20190901","9호선","4122","신반포","2386","2619","20190904"
"20190901","9호선","4123","고속터미널","13684","22721","20190904"
"20190901","9호선","4124","사평","1604","1719","20190904"
"20190901","9호선","4125","신논현","20438","19126","20190904"
"20190901","9호선2~3단계","4126","언주","4274","3791","20190904"
"20190901","9호선2~3단계","4127","선정릉","3967","4388","20190904"
"20190901","9호선2~3단계","4128","삼성중앙","2469","2508","20190904"
"20190901","9호선2~3단계","4129","봉은사","11683","11439","20190904"
"20190901","9호선2~3단계","4130","종합운동장","3258","2641","20190904"
"20190901","9호선2~3단계","4131","삼전","4213","3785","20190904"
"20190901","9호선2~3단계","4132","석촌고분","3636","3150","20190904"
"20190901","9호선2~3단계","4133","석촌","4702","3682","20190904"
"20190901","9호선2~3단계","4134","송파나루","2791","2970","20190904"
"20190901","9호선2~3단계","4135","한성백제","1979","1732","20190904"
"20190901","9호선2~3단계","4136","올림픽공원(한국체대)","14122","14088","20190904"
"20190901","9호선2~3단계","4137","둔촌오륜","922","839","20190904"
"20190901","9호선2~3단계","4138","중앙보훈병원","3902","3778","20190904"
"20190901","경강선","1501","판교","2490","2310","20190904"
"20190901","경강선","1502","이매","955","778","20190904"
"20190901","경강선","1503","삼동","1138","1063","20190904"
"20190901","경강선","1504","경기광주","4627","4608","20190904"
"20190901","경강선","1505","초월","1819","1763","20190904"
"20190901","경강선","1506","곤지암","1724","1689","20190904"
"20190901","경강선","1507","신둔도예촌","961","1016","20190904"
"20190901","경강선","1508","이천","2411","2657","20190904"
"20190901","경강선","1509","부발","1377","1807","20190904"
"20190901","경강선","1510","세종대왕릉","323","340","20190904"
"20190901","경강선","1511","여주","2355","2297","20190904"
"20190901","경부선","1001","서울역","8035","1368","20190904"
"20190901","경부선","1002","남영","5989","6295","20190904"
"20190901","경부선","1003","용산","40952","37930","20190904"
"20190901","경부선","1004","노량진","9149","7978","20190904"
"20190901","경부선","1005","대방","8450","8873","20190904"
"20190901","경부선","1006","영등포","45164","44489","20190904"
"20190901","경부선","1007","신도림","2776","3065","20190904"
"20190901","경부선","1032","신길","5998","5241","20190904"
"20190901","경부선","1701","구로","12236","12294","20190904"
"20190901","경부선","1702","가산디지털단지","5945","7751","20190904"
"20190901","경부선","1703","금천구청","7769","7473","20190904"
"20190901","경부선","1704","석수","7249","6970","20190904"
"20190901","경부선","1705","관악","6584","6073","20190904"
"20190901","경부선","1706","안양","19491","19001","20190904"
"20190901","경부선","1707","명학","4641","4624","20190904"
"20190901","경부선","1708","금정","17492","18232","20190904"
"20190901","경부선","1709","군포","3941","3595","20190904"
"20190901","경부선","1710","의왕","5263","5328","20190904"
"20190901","경부선","1711","성균관대","10133","10976","20190904"
"20190901","경부선","1712","화서","5294","5199","20190904"
"20190901","경부선","1713","수원","44818","44325","20190904"
"20190901","경부선","1714","독산","7735","7823","20190904"
"20190901","경부선","1715","세류","3108","3111","20190904"
"20190901","경부선","1716","병점","11513","13151","20190904"
"20190901","경부선","1717","세마","2320","2100","20190904"
"20190901","경부선","1718","오산대","2526","2464","20190904"
"20190901","경부선","1719","오산","9279","9587","20190904"
"20190901","경부선","1720","진위","1006","1048","20190904"
"20190901","경부선","1721","송탄","4556","5055","20190904"
"20190901","경부선","1722","서정리","3928","5457","20190904"
"20190901","경부선","1723","지제","2123","2193","20190904"
"20190901","경부선","1724","평택","14023","14619","20190904"
"20190901","경부선","1725","성환","3310","4390","20190904"
"20190901","경부선","1726","직산","862","912","20190904"
"20190901","경부선","1727","두정","4990","6471","20190904"
"20190901","경부선","1728","천안","8026","7956","20190904"
"20190901","경부선","1729","당정","4244","4115","20190904"
"20190901","경부선","1749","서동탄","1275","1239","20190904"
