"사용일자","노선명","역ID","역명","승차총승객수","하차총승객수","등록일자"
"20181201","경인선","1806","부평","41557","46590","20181204"
"20181201","경인선","1805","송내","28444","27220","20181204"
"20181201","경인선","1804","부천","42860","43758","20181204"
"20181201","경인선","1803","역곡","28807","27319","20181204"
"20181201","경인선","1802","오류동","11990","10951","20181204"
"20181201","경인선","1801","개봉","24749","24003","20181204"
"20181201","경의선","1284","문산","7236","6152","20181204"
"20181201","경의선","1283","파주","1487","944","20181204"
"20181201","경의선","1282","월롱","1774","1543","20181204"
"20181201","경의선","1280","금촌","8291","7548","20181204"
"20181201","경의선","1279","금릉","4522","4419","20181204"
"20181201","경의선","1278","운정","5360","4850","20181204"
"20181201","경의선","1277","야당","4627","4308","20181204"
"20181201","경의선","1276","탄현","6705","6256","20181204"
"20181201","경의선","1275","일산","7688","7284","20181204"
"20181201","경의선","1274","풍산","4739","4496","20181204"
"20181201","경의선","1273","백마","5503","4889","20181204"
"20181201","경의선","1272","곡산","453","454","20181204"
"20181201","경의선","1271","능곡","3198","3014","20181204"
"20181201","경의선","1270","행신","6586","6591","20181204"
"20181201","경의선","1269","강매","2303","1911","20181204"
"20181201","경의선","1268","화전","2199","1860","20181204"
"20181201","경의선","1267","수색","2195","2078","20181204"
"20181201","경의선","1266","디지털미디어시티","2023","1883","20181204"
"20181201","경의선","1265","가좌","4665","4279","20181204"
"20181201","경의선","1264","홍대입구","2245","3120","20181204"
"20181201","경의선","1263","서강대","2035","2006","20181204"
"20181201","경의선","1262","공덕","3717","2663","20181204"
"20181201","경의선","1261","효창공원앞","2040","2110","20181204"
"20181201","경의선","1252","신촌","709","701","20181204"
"20181201","경의선","1251","서울역","2006","2184","20181204"
"20181201","경원선","1916","소요산","5359","4176","20181204"
"20181201","경원선","1915","동두천","2180","2612","20181204"
"20181201","경원선","1914","보산","2213","2144","20181204"
"20181201","경원선","1913","동두천중앙","3761","3643","20181204"
"20181201","경원선","1912","지행","7395","7163","20181204"
"20181201","경원선","1911","덕정","6504","6029","20181204"
"20181201","경원선","1910","덕계","1806","1665","20181204"
"20181201","경원선","1909","양주","8928","7523","20181204"
"20181201","경원선","1908","녹양","4576","4218","20181204"
"20181201","경원선","1907","가능","6820","6018","20181204"
"20181201","경원선","1906","의정부","25126","27201","20181204"
"20181201","경원선","1905","회룡","11999","11729","20181204"
"20181201","경원선","1904","망월사","7469","7313","20181204"
"20181201","경원선","1903","도봉산","10074","6387","20181204"
"20181201","경원선","1902","도봉","5366","5070","20181204"
"20181201","경원선","1901","방학","9127","8697","20181204"
"20181201","경원선","1021","녹천","4417","3463","20181204"
"20181201","경원선","1020","월계","5789","4872","20181204"
"20181201","경원선","1019","광운대","8199","7969","20181204"
"20181201","경원선","1018","석계","10208","10676","20181204"
"20181201","경원선","1017","신이문","8487","7497","20181204"
"20181201","경원선","1016","외대앞","10385","9236","20181204"
"20181201","경원선","1014","청량리(서울시립대입구)","19864","21493","20181204"
"20181201","경원선","1013","왕십리(성동구청)","17828","19557","20181204"
"20181201","경원선","1012","응봉","1750","1504","20181204"
"20181201","경원선","1011","옥수","40","35","20181204"
"20181201","경원선","1010","한남","3575","3615","20181204"
"20181201","경원선","1009","서빙고","1717","1727","20181204"
"20181201","경원선","1008","이촌(국립중앙박물관)","3995","2864","20181204"
"20181201","경부선","1750","광명","3012","2269","20181204"
"20181201","경부선","1749","서동탄","1861","1788","20181204"
"20181201","경부선","1729","당정","6124","5560","20181204"
"20181201","경부선","1728","천안","8866","8631","20181204"
"20181201","경부선","1727","두정","6036","6123","20181204"
"20181201","경부선","1726","직산","954","915","20181204"
"20181201","경부선","1725","성환","4263","3772","20181204"
"20181201","경부선","1724","평택","17034","15645","20181204"
"20181201","경부선","1723","지제","2446","2197","20181204"
"20181201","경부선","1722","서정리","5277","4833","20181204"
"20181201","경부선","1721","송탄","5415","5169","20181204"
"20181201","경부선","1720","진위","1360","1132","20181204"
"20181201","경부선","1719","오산","11651","10493","20181204"
"20181201","경부선","1718","오산대","3161","2705","20181204"
"20181201","경부선","1717","세마","2982","2536","20181204"
"20181201","경부선","1716","병점","15851","15067","20181204"
"20181201","경부선","1715","세류","4329","4094","20181204"
"20181201","경부선","1714","독산","11581","11800","20181204"
"20181201","경부선","1713","수원","53371","56840","20181204"
"20181201","경부선","1712","화서","8068","7849","20181204"
"20181201","경부선","1711","성균관대","14545","14109","20181204"
"20181201","경부선","1710","의왕","7347","6960","20181204"
"20181201","경부선","1709","군포","5789","5259","20181204"
"20181201","경부선","1708","금정","24651","24370","20181204"
"20181201","경부선","1707","명학","7541","7348","20181204"
"20181201","경부선","1706","안양","28460","27655","20181204"
"20181201","경부선","1705","관악","8061","7830","20181204"
"20181201","경부선","1704","석수","10276","9132","20181204"
"20181201","경부선","1703","금천구청","10505","10318","20181204"
"20181201","경부선","1702","가산디지털단지","8381","11395","20181204"
"20181201","경부선","1701","구로","20570","22910","20181204"
"20181201","경부선","1032","신길","8254","6796","20181204"
"20181201","경부선","1007","신도림","3796","4542","20181204"
"20181201","경부선","1006","영등포","62226","67166","20181204"
"20181201","경부선","1005","대방","14124","13867","20181204"
"20181201","경부선","1004","노량진","15550","13715","20181204"
"20181201","경부선","1003","용산","51163","54570","20181204"
"20181201","경부선","1002","남영","8473","8626","20181204"
"20181201","경부선","1001","서울역","7455","1228","20181204"
"20181201","경강선","1511","여주","2305","2719","20181204"
"20181201","경강선","1510","세종대왕릉","355","343","20181204"
"20181201","경강선","1509","부발","1878","1592","20181204"
"20181201","경강선","1508","이천","3000","3116","20181204"
"20181201","경강선","1507","신둔도예촌","1176","1048","20181204"
"20181201","경강선","1506","곤지암","2061","1872","20181204"
"20181201","경강선","1505","초월","2339","2000","20181204"
"20181201","경강선","1504","경기광주","6040","5570","20181204"
"20181201","경강선","1503","삼동","1575","1298","20181204"
"20181201","경강선","1502","이매","1325","804","20181204"
"20181201","경강선","1501","판교","3015","2946","20181204"
"20181201","9호선2단계","4138","중앙보훈병원","5156","4862","20181204"
"20181201","9호선2단계","4137","둔촌오륜","1016","873","20181204"
"20181201","9호선2단계","4136","올림픽공원(한국체대)","9657","9584","20181204"
"20181201","9호선2단계","4135","한성백제","2351","1845","20181204"
"20181201","9호선2단계","4134","송파나루","3378","2979","20181204"
"20181201","9호선2단계","4133","석촌","4583","2885","20181204"
"20181201","9호선2단계","4132","석촌고분","3239","2840","20181204"
"20181201","9호선2단계","4131","삼전","4201","3799","20181204"
"20181201","9호선2단계","4130","종합운동장","4851","3716","20181204"
"20181201","9호선2단계","4129","봉은사","16692","16978","20181204"
"20181201","9호선2단계","4128","삼성중앙","3428","3421","20181204"
"20181201","9호선2단계","4127","선정릉","5539","5967","20181204"
"20181201","9호선2단계","4126","언주","7070","6715","20181204"
"20181201","9호선","4125","신논현","31309","33225","20181204"
"20181201","9호선","4124","사평","2456","2237","20181204"
"20181201","9호선","4123","고속터미널","15770","27462","20181204"
"20181201","9호선","4122","신반포","2602","2522","20181204"
"20181201","9호선","4121","구반포","3833","4057","20181204"
"20181201","9호선","4120","동작(현충원)","1723","1491","20181204"
"20181201","9호선","4119","흑석(중앙대입구)","9565","9395","20181204"
"20181201","9호선","4118","노들","4060","3298","20181204"
"20181201","9호선","4117","노량진","29466","31979","20181204"
"20181201","9호선","4116","샛강","3301","3458","20181204"
"20181201","9호선","4115","여의도","11209","10954","20181204"
"20181201","9호선","4114","국회의사당","10083","9926","20181204"
"20181201","9호선","4113","당산","16591","15144","20181204"
"20181201","중앙선","1218","원덕","470","485","20181204"
"20181201","중앙선","1217","양평","3393","3647","20181204"
"20181201","중앙선","1216","오빈","347","319","20181204"
"20181201","중앙선","1215","아신","692","728","20181204"
"20181201","중앙선","1214","국수","734","729","20181204"
"20181201","중앙선","1213","신원","230","201","20181204"
"20181201","중앙선","1212","양수","2123","2253","20181204"
"20181201","중앙선","1211","운길산","904","859","20181204"
"20181201","중앙선","1210","팔당","1106","1174","20181204"
"20181201","중앙선","1209","도심","2168","1946","20181204"
"20181201","중앙선","1208","덕소","6130","5883","20181204"
"20181201","중앙선","1207","양정","764","681","20181204"
"20181201","중앙선","1206","도농","8193","7223","20181204"
"20181201","중앙선","1205","구리","13973","14312","20181204"
"20181201","중앙선","1204","양원","1452","1377","20181204"
"20181201","중앙선","1203","망우","8074","7936","20181204"
"20181201","중앙선","1202","상봉(시외버스터미널)","6003","5831","20181204"
"20181201","중앙선","1201","중랑","5294","5065","20181204"
"20181201","중앙선","1015","회기","29488","27658","20181204"
"20181201","장항선","1408","신창(순천향대)","1792","1637","20181204"
"20181201","장항선","1407","온양온천","6170","6195","20181204"
"20181201","장항선","1405","배방","1223","1118","20181204"
"20181201","장항선","1403","아산","3848","3465","20181204"
"20181201","장항선","1402","쌍용(나사렛대)","2244","2027","20181204"
"20181201","장항선","1401","봉명","1034","1024","20181204"
"20181201","일산선","1958","대화","14764","12322","20181204"
"20181201","일산선","1957","주엽","9035","8775","20181204"
"20181201","일산선","1956","정발산","9247","10006","20181204"
"20181201","일산선","1955","마두","7338","7308","20181204"
"20181201","일산선","1954","백석","11045","11117","20181204"
"20181201","일산선","1953","대곡","1534","1280","20181204"
"20181201","일산선","1952","화정","17675","18156","20181204"
"20181201","일산선","1951","원당","10992","10156","20181204"
"20181201","일산선","1950","삼송","15363","14130","20181204"
"20181201","일산선","1948","원흥","7354","6459","20181204"
"20181201","우이신설선","4713","신설동","1474","1368","20181204"
"20181201","우이신설선","4712","보문","1416","1359","20181204"
"20181201","우이신설선","4711","성신여대입구(돈암)","3383","3920","20181204"
"20181201","우이신설선","4710","정릉","3906","3142","20181204"
"20181201","우이신설선","4709","북한산보국문","5395","4674","20181204"
"20181201","9호선","4112","선유도","4001","3832","20181204"
"20181201","9호선","4111","신목동","3002","2528","20181204"
