"사용일자","노선명","역ID","역명","승차총승객수","하차총승객수","등록일자"
"20190601","우이신설선","4706","삼양","1785","1897","20190604"
"20190601","우이신설선","4705","화계","2942","2606","20190604"
"20190601","우이신설선","4704","가오리","3623","3408","20190604"
"20190601","우이신설선","4703","4.19민주묘지","2738","2414","20190604"
"20190601","우이신설선","4702","솔밭공원","2178","2172","20190604"
"20190601","우이신설선","4701","북한산우이","4130","4150","20190604"
"20190601","안산선","1763","수리산","3916","3226","20190604"
"20190601","안산선","1762","오이도","10960","10759","20190604"
"20190601","안산선","1761","정왕","8244","8168","20190604"
"20190601","안산선","1760","신길온천","1806","1657","20190604"
"20190601","안산선","1759","안산","15153","15197","20190604"
"20190601","안산선","1758","초지","3157","2985","20190604"
"20190601","안산선","1757","고잔","8889","8896","20190604"
"20190601","안산선","1756","중앙","19099","20594","20190604"
"20190601","안산선","1755","한대앞","8489","8234","20190604"
"20190601","안산선","1754","상록수","19859","18630","20190604"
"20190601","안산선","1753","반월","4998","4454","20190604"
"20190601","안산선","1752","대야미","4676","3959","20190604"
"20190601","안산선","1751","산본","17859","19150","20190604"
"20190601","수인선","1891","인천","1553","2653","20190604"
"20190601","수인선","1890","신포","1824","1981","20190604"
"20190601","수인선","1889","숭의","3345","3208","20190604"
"20190601","수인선","1888","인하대","5217","4891","20190604"
"20190601","수인선","1886","송도","2891","2802","20190604"
"20190601","수인선","1885","연수","5420","5548","20190604"
"20190601","수인선","1884","원인재","4718","4671","20190604"
"20190601","수인선","1883","남동인더스파크","1095","1075","20190604"
"20190601","수인선","1882","호구포","3016","2927","20190604"
"20190601","수인선","1881","인천논현","6152","6166","20190604"
"20190601","수인선","1880","소래포구","6992","6875","20190604"
"20190601","수인선","1879","월곶","2512","2422","20190604"
"20190601","수인선","1878","달월","71","69","20190604"
"20190601","분당선","1872","매교","1985","2129","20190604"
"20190601","분당선","1871","수원시청","14042","16510","20190604"
"20190601","분당선","1870","매탄권선","4071","3871","20190604"
"20190601","분당선","1869","망포","11814","10188","20190604"
"20190601","분당선","1868","영통","9841","9829","20190604"
"20190601","분당선","1867","청명","3841","3654","20190604"
"20190601","분당선","1866","상갈","5349","5076","20190604"
"20190601","분당선","1865","기흥","8880","8572","20190604"
"20190601","분당선","1864","신갈","3944","3889","20190604"
"20190601","분당선","1863","구성","4147","4250","20190604"
"20190601","분당선","1862","죽전","14892","16510","20190604"
"20190601","분당선","1861","보정","2223","1913","20190604"
"20190601","분당선","1860","이매","5528","5200","20190604"
"20190601","분당선","1859","오리","11518","9719","20190604"
"20190601","분당선","1858","미금","14824","15639","20190604"
"20190601","분당선","1857","정자","13640","13915","20190604"
"20190601","분당선","1856","수내","11830","11104","20190604"
"20190601","분당선","1855","서현","26152","26729","20190604"
"20190601","분당선","1854","야탑","25793","27372","20190604"
"20190601","분당선","1853","모란","21167","20992","20190604"
"20190601","분당선","1852","태평","13437","12773","20190604"
"20190601","분당선","1851","가천대","6784","7283","20190604"
"20190601","분당선","1850","선정릉","4736","4938","20190604"
"20190601","분당선","1849","강남구청","6845","8152","20190604"
"20190601","분당선","1848","압구정로데오","16745","19260","20190604"
"20190601","분당선","1847","서울숲","8879","9101","20190604"
"20190601","분당선","1846","수원","9391","6190","20190604"
"20190601","분당선","1030","수서","12583","12816","20190604"
"20190601","분당선","1028","대모산입구","2554","2341","20190604"
"20190601","분당선","1027","개포동","2713","2636","20190604"
"20190601","분당선","1026","구룡","1443","1410","20190604"
"20190601","분당선","1025","도곡","5611","4953","20190604"
"20190601","분당선","1024","한티","14342","13958","20190604"
"20190601","분당선","1023","선릉","6005","10274","20190604"
"20190601","과천선","1457","범계","29294","28839","20190604"
"20190601","과천선","1456","평촌","13775","13381","20190604"
"20190601","과천선","1455","인덕원","23357","22242","20190604"
