"사용일자","노선명","역ID","역명","승차총승객수","하차총승객수","등록일자"
"20190501","일산선","1955","마두","8528","8796","20190504"
"20190501","일산선","1954","백석","10118","10399","20190504"
"20190501","일산선","1953","대곡","1655","1406","20190504"
"20190501","일산선","1952","화정","20102","20951","20190504"
"20190501","일산선","1951","원당","11419","11064","20190504"
"20190501","일산선","1950","삼송","16289","15724","20190504"
"20190501","일산선","1948","원흥","7565","7223","20190504"
"20190501","우이신설선","4713","신설동","1868","1879","20190504"
"20190501","우이신설선","4712","보문","1619","1575","20190504"
"20190501","우이신설선","4711","성신여대입구(돈암)","4027","4496","20190504"
"20190501","우이신설선","4710","정릉","4274","3623","20190504"
"20190501","우이신설선","4709","북한산보국문","6233","5584","20190504"
"20190501","우이신설선","4708","솔샘","4857","4611","20190504"
"20190501","우이신설선","4707","삼양사거리","2265","2311","20190504"
"20190501","우이신설선","4706","삼양","2003","2064","20190504"
"20190501","우이신설선","4705","화계","3178","2879","20190504"
"20190501","우이신설선","4704","가오리","3781","3551","20190504"
"20190501","우이신설선","4703","4.19민주묘지","4287","4100","20190504"
"20190501","우이신설선","4702","솔밭공원","2203","2192","20190504"
"20190501","우이신설선","4701","북한산우이","3705","3729","20190504"
"20190501","안산선","1763","수리산","8672","9580","20190504"
"20190501","안산선","1762","오이도","11024","11029","20190504"
"20190501","안산선","1761","정왕","8706","8995","20190504"
"20190501","안산선","1760","신길온천","1719","1656","20190504"
"20190501","안산선","1759","안산","14235","13368","20190504"
"20190501","안산선","1758","초지","2902","2970","20190504"
"20190501","안산선","1757","고잔","7478","7281","20190504"
"20190501","안산선","1756","중앙","17960","18749","20190504"
"20190501","안산선","1755","한대앞","9517","9155","20190504"
"20190501","안산선","1754","상록수","18524","18537","20190504"
"20190501","안산선","1753","반월","4857","4467","20190504"
"20190501","안산선","1752","대야미","4936","4178","20190504"
"20190501","안산선","1751","산본","18455","18629","20190504"
"20190501","수인선","1891","인천","1659","2899","20190504"
"20190501","수인선","1890","신포","2158","2256","20190504"
"20190501","수인선","1889","숭의","3423","3234","20190504"
"20190501","수인선","1888","인하대","6997","6808","20190504"
"20190501","수인선","1886","송도","3280","3177","20190504"
"20190501","수인선","1885","연수","5593","5475","20190504"
"20190501","수인선","1884","원인재","4469","4650","20190504"
"20190501","수인선","1883","남동인더스파크","992","1040","20190504"
"20190501","수인선","1882","호구포","2907","2779","20190504"
"20190501","수인선","1881","인천논현","6090","6388","20190504"
"20190501","수인선","1880","소래포구","7455","7178","20190504"
"20190501","수인선","1879","월곶","2891","2745","20190504"
"20190501","수인선","1878","달월","77","66","20190504"
"20190501","분당선","1872","매교","2430","2405","20190504"
"20190501","분당선","1871","수원시청","10700","11370","20190504"
"20190501","분당선","1870","매탄권선","4175","3996","20190504"
"20190501","분당선","1869","망포","11168","10878","20190504"
"20190501","분당선","1868","영통","9638","9941","20190504"
"20190501","분당선","1867","청명","3599","3391","20190504"
"20190501","분당선","1866","상갈","5305","5204","20190504"
"20190501","분당선","1865","기흥","10236","10077","20190504"
"20190501","분당선","1864","신갈","3960","3826","20190504"
"20190501","분당선","1863","구성","4274","4295","20190504"
"20190501","분당선","1862","죽전","16010","17765","20190504"
"20190501","분당선","1861","보정","2181","1943","20190504"
"20190501","분당선","1860","이매","5892","5671","20190504"
"20190501","분당선","1859","오리","10755","9041","20190504"
