"사용일자","노선명","역ID","역명","승차총승객수","하차총승객수","등록일자"
"20181001","분당선","1027","개포동","3564","3774","20181004"
"20181001","중앙선","1220","지평","77","63","20181004"
"20181001","중앙선","1219","용문","2602","2442","20181004"
"20181001","중앙선","1218","원덕","475","442","20181004"
"20181001","중앙선","1217","양평","3582","3626","20181004"
"20181001","중앙선","1216","오빈","386","373","20181004"
"20181001","중앙선","1215","아신","782","965","20181004"
"20181001","중앙선","1214","국수","1020","937","20181004"
"20181001","중앙선","1213","신원","320","269","20181004"
"20181001","중앙선","1212","양수","2241","2160","20181004"
"20181001","중앙선","1211","운길산","887","863","20181004"
"20181001","중앙선","1210","팔당","1095","1042","20181004"
"20181001","중앙선","1209","도심","3377","2530","20181004"
"20181001","중앙선","1208","덕소","7463","7305","20181004"
"20181001","중앙선","1207","양정","1110","964","20181004"
"20181001","중앙선","1206","도농","11021","9461","20181004"
"20181001","중앙선","1205","구리","16778","16648","20181004"
"20181001","중앙선","1204","양원","2108","2293","20181004"
"20181001","중앙선","1203","망우","9281","9033","20181004"
"20181001","중앙선","1202","상봉(시외버스터미널)","6563","6270","20181004"
"20181001","중앙선","1201","중랑","6472","6077","20181004"
"20181001","중앙선","1015","회기","33556","33055","20181004"
"20181001","장항선","1408","신창(순천향대)","2573","3122","20181004"
"20181001","장항선","1407","온양온천","4442","4507","20181004"
"20181001","장항선","1405","배방","1023","985","20181004"
"20181001","장항선","1403","아산","3404","2730","20181004"
"20181001","장항선","1402","쌍용(나사렛대)","3035","3156","20181004"
"20181001","장항선","1401","봉명","1607","1585","20181004"
"20181001","일산선","1958","대화","18484","13537","20181004"
"20181001","일산선","1957","주엽","11735","12052","20181004"
"20181001","일산선","1956","정발산","9166","9354","20181004"
"20181001","일산선","1955","마두","9629","10037","20181004"
"20181001","일산선","1954","백석","12843","12868","20181004"
"20181001","일산선","1953","대곡","2137","1629","20181004"
"20181001","일산선","1952","화정","21828","22630","20181004"
"20181001","일산선","1951","원당","13969","13252","20181004"
"20181001","일산선","1950","삼송","18587","18036","20181004"
"20181001","일산선","1948","원흥","10243","9312","20181004"
"20181001","우이신설선","4713","신설동","2105","2211","20181004"
"20181001","우이신설선","4712","보문","1712","1750","20181004"
"20181001","우이신설선","4711","성신여대입구(돈암)","4125","4383","20181004"
"20181001","우이신설선","4710","정릉","4819","4438","20181004"
"20181001","우이신설선","4709","북한산보국문","6616","6272","20181004"
"20181001","우이신설선","4708","솔샘","6368","5973","20181004"
"20181001","우이신설선","4707","삼양사거리","2743","2834","20181004"
"20181001","우이신설선","4706","삼양","2234","2455","20181004"
"20181001","우이신설선","4705","화계","3665","3432","20181004"
"20181001","우이신설선","4704","가오리","4520","4496","20181004"
"20181001","우이신설선","4703","4.19민주묘지","3859","3952","20181004"
"20181001","우이신설선","4702","솔밭공원","2493","2512","20181004"
"20181001","우이신설선","4701","북한산우이","2833","2528","20181004"
"20181001","안산선","1763","수리산","5292","4139","20181004"
"20181001","안산선","1762","오이도","11602","10732","20181004"
"20181001","안산선","1761","정왕","11027","11946","20181004"
"20181001","안산선","1760","신길온천","1984","1717","20181004"
"20181001","안산선","1759","안산","16329","14795","20181004"
"20181001","안산선","1758","초지","4998","5421","20181004"
"20181001","안산선","1757","고잔","10176","9607","20181004"
"20181001","안산선","1756","중앙","18736","19436","20181004"
"20181001","안산선","1755","한대앞","10605","10656","20181004"
"20181001","안산선","1754","상록수","23926","23623","20181004"
"20181001","안산선","1753","반월","5427","5173","20181004"
"20181001","안산선","1752","대야미","5111","4615","20181004"
"20181001","안산선","1751","산본","20237","21501","20181004"
